"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 21 17:41:13 GMT 2022","Sun Aug 21 17:41:22 GMT 2022","8697","","Login to the site","","Login to the site","Login to the site with invalid credentials","Login to the site with invalid credentials",""
"broken","Sun Aug 21 17:14:48 GMT 2022","Sun Aug 21 17:14:48 GMT 2022","4","","Login to the site","","Login to the site","Login to the site with empty credentials","Login to the site with empty credentials",""
"passed","Sun Aug 21 17:41:22 GMT 2022","Sun Aug 21 17:41:24 GMT 2022","2281","","Login to the site","","Login to the site","Login to the site as admin credentials","Login to the site as admin credentials",""
