"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 11:39:46 GMT 2022","Sun Sep 18 11:39:54 GMT 2022","7807","","Login to the site","","Login to the site","Login to the site with invalid credentials","Login to the site with invalid credentials",""
"passed","Sun Sep 18 11:39:54 GMT 2022","Sun Sep 18 11:39:56 GMT 2022","2426","","Login to the site","","Login to the site","Login to the site as admin credentials","Login to the site as admin credentials",""
