"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 21 18:21:31 EEST 2022","Sun Aug 21 18:21:42 EEST 2022","10849","","The Internet Guinea Pig Website","","The Internet Guinea Pig Website","As a user, I can log into the secure area","As a user, I can log into the secure area",""
"passed","Sun Aug 21 18:29:27 EEST 2022","Sun Aug 21 18:29:28 EEST 2022","864","","Login to the site","","Login to the site","As a user, I can log into the secure area","As a user, I can log into the secure area",""
